-999 -999 -999    12.42500 -999.00000    7.59423 -999.00000 -999.00000
-999 -999 -999    14.22100 -999.00000    7.75677 -999.00000 -999.00000
-999 -999 -999    14.64600 -999.00000    7.94494 -999.00000 -999.00000
-999 -999 -999    16.44300 -999.00000    8.16191 -999.00000 -999.00000
-999 -999 -999    17.84500 -999.00000    8.42314 -999.00000 -999.00000
-999 -999 -999    19.09100 -999.00000    8.72917 -999.00000 -999.00000
-999 -999 -999    12.14200 -999.00000    8.97022 -999.00000 -999.00000
-999 -999 -999    16.60800 -999.00000    9.18226 -999.00000 -999.00000
-999 -999 -999    16.42100 -999.00000    9.46455 -999.00000 -999.00000
-999 -999 -999    14.45000 -999.00000    9.71911 -999.00000 -999.00000
-999 -999 -999    13.32900 -999.00000    9.92280 -999.00000 -999.00000
-999 -999 -999    13.07100 -999.00000   10.10063 -999.00000 -999.00000
-999 -999 -999    16.61200 -999.00000   10.34338 -999.00000 -999.00000
-999 -999 -999    15.11200 -999.00000   10.63118 -999.00000 -999.00000
-999 -999 -999    15.75400 -999.00000   10.90345 -999.00000 -999.00000
-999 -999 -999    19.59600 -999.00000   11.29414 -999.00000 -999.00000
-999 -999 -999    14.06700 -999.00000   11.64512 -999.00000 -999.00000
-999 -999 -999    12.72100 -999.00000   11.78854 -999.00000 -999.00000
-999 -999 -999    17.25400 -999.00000   12.02702 -999.00000 -999.00000
-999 -999 -999    10.79600 -999.00000   12.18605 -999.00000 -999.00000
-999 -999 -999    13.47100 -999.00000   12.20964 -999.00000 -999.00000
-999 -999 -999    15.47500 -999.00000   12.39067 -999.00000 -999.00000
-999 -999 -999    15.15800 -999.00000   12.62143 -999.00000 -999.00000
-999 -999 -999    12.25000 -999.00000   12.71033 -999.00000 -999.00000
-999 -999 -999    10.52900 -999.00000   12.61148 -999.00000 -999.00000
-999 -999 -999    11.88800 -999.00000   12.51117 -999.00000 -999.00000
-999 -999 -999    13.53800 -999.00000   12.52980 -999.00000 -999.00000
-999 -999 -999    15.94200 -999.00000   12.69715 -999.00000 -999.00000
-999 -999 -999    17.16300 -999.00000   12.99825 -999.00000 -999.00000
-999 -999 -999    12.03700 -999.00000   13.10698 -999.00000 -999.00000
-999 -999 -999    14.02100 -999.00000   13.07277 -999.00000 -999.00000
-999 -999 -999    17.67100 -999.00000   13.28646 -999.00000 -999.00000
-999 -999 -999    14.12900 -999.00000   13.47871 -999.00000 -999.00000
-999 -999 -999    11.11300 -999.00000   13.33953 -999.00000 -999.00000
-999 -999 -999    16.12900 -999.00000   13.31598 -999.00000 -999.00000
-999 -999 -999    12.52900 -999.00000   13.34738 -999.00000 -999.00000
-999 -999 -999    15.50800 -999.00000   13.34945 -999.00000 -999.00000
-999 -999 -999    14.29200 -999.00000   13.42454 -999.00000 -999.00000
-999 -999 -999    16.33800 -999.00000   13.53046 -999.00000 -999.00000
-999 -999 -999    17.50800 -999.00000   13.78153 -999.00000 -999.00000
-999 -999 -999    19.96300 -999.00000   14.21285 -999.00000 -999.00000
-999 -999 -999    17.69200 -999.00000   14.61964 -999.00000 -999.00000
-999 -999 -999    17.67500 -999.00000   14.83556 -999.00000 -999.00000
-999 -999 -999    15.70400 -999.00000   14.87296 -999.00000 -999.00000
